module	symbol	required_crc	provider_status
adsp_loader_dlkm.ko	__platform_driver_register	0x503a285e	kernel-or-module-unresolved
adsp_loader_dlkm.ko	__stack_chk_fail	0x98a9d10c	kernel-or-module-unresolved
adsp_loader_dlkm.ko	__stack_chk_guard	0x8f678b07	kernel-or-module-unresolved
adsp_loader_dlkm.ko	_dev_err	0x5ed4c6ae	kernel-or-module-unresolved
adsp_loader_dlkm.ko	_dev_info	0x8eff6041	kernel-or-module-unresolved
adsp_loader_dlkm.ko	devm_kfree	0x0d604c3f	kernel-or-module-unresolved
adsp_loader_dlkm.ko	devm_kmalloc	0x08e2fd0c	kernel-or-module-unresolved
adsp_loader_dlkm.ko	kernel_kobj	0xbe169a2d	kernel-or-module-unresolved
adsp_loader_dlkm.ko	kfree	0x037a0cba	kernel-or-module-unresolved
adsp_loader_dlkm.ko	kobject_create_and_add	0x177f5d51	kernel-or-module-unresolved
adsp_loader_dlkm.ko	kobject_del	0xf524bddc	kernel-or-module-unresolved
adsp_loader_dlkm.ko	kstrtoint	0x2276db98	kernel-or-module-unresolved
adsp_loader_dlkm.ko	memcpy	0x4829a47e	kernel-or-module-unresolved
adsp_loader_dlkm.ko	module_layout	0x7c24b32d	kernel-or-module-unresolved
adsp_loader_dlkm.ko	nvmem_cell_get	0x75dea444	kernel-or-module-unresolved
adsp_loader_dlkm.ko	nvmem_cell_put	0x85540ebc	kernel-or-module-unresolved
adsp_loader_dlkm.ko	nvmem_cell_read	0x99f018c4	kernel-or-module-unresolved
adsp_loader_dlkm.ko	of_find_property	0x6ca7c29e	kernel-or-module-unresolved
adsp_loader_dlkm.ko	of_property_read_string	0x9cf0dacc	kernel-or-module-unresolved
adsp_loader_dlkm.ko	of_property_read_string_helper	0x7c02aadb	kernel-or-module-unresolved
adsp_loader_dlkm.ko	of_property_read_variable_u32_array	0xfec2174f	kernel-or-module-unresolved
adsp_loader_dlkm.ko	platform_driver_unregister	0x329d9ae3	kernel-or-module-unresolved
adsp_loader_dlkm.ko	printk	0xc5850110	kernel-or-module-unresolved
adsp_loader_dlkm.ko	queue_work_on	0x732ac580	kernel-or-module-unresolved
adsp_loader_dlkm.ko	rproc_boot	0xa67a6a6c	kernel-or-module-unresolved
adsp_loader_dlkm.ko	rproc_get_by_phandle	0xd5982f15	kernel-or-module-unresolved
adsp_loader_dlkm.ko	rproc_put	0x2252a67a	kernel-or-module-unresolved
adsp_loader_dlkm.ko	rproc_set_firmware	0x873d545b	kernel-or-module-unresolved
adsp_loader_dlkm.ko	rproc_shutdown	0xb731f6c5	kernel-or-module-unresolved
adsp_loader_dlkm.ko	spf_core_is_apm_ready	0x7e8184fc	kernel-or-module-unresolved
adsp_loader_dlkm.ko	sscanf	0xbcab6ee6	kernel-or-module-unresolved
adsp_loader_dlkm.ko	strcmp	0xe2d5255a	kernel-or-module-unresolved
adsp_loader_dlkm.ko	strlcpy	0x5792f848	kernel-or-module-unresolved
adsp_loader_dlkm.ko	strlen	0x98cf60b3	kernel-or-module-unresolved
adsp_loader_dlkm.ko	sysfs_create_group	0xaa3caa56	kernel-or-module-unresolved
adsp_loader_dlkm.ko	sysfs_remove_group	0xe8415b1d	kernel-or-module-unresolved
adsp_loader_dlkm.ko	system_wq	0x2d3385d3	kernel-or-module-unresolved
audio_pkt_dlkm.ko	___ratelimit	0x1d24c881	kernel-or-module-unresolved
audio_pkt_dlkm.ko	__alloc_skb	0xbcf85bc0	kernel-or-module-unresolved
audio_pkt_dlkm.ko	__arch_copy_to_user	0x6b2941b2	kernel-or-module-unresolved
audio_pkt_dlkm.ko	__cfi_slowpath	0x2cd90edd	kernel-or-module-unresolved
audio_pkt_dlkm.ko	__check_object_size	0x88db9f48	kernel-or-module-unresolved
audio_pkt_dlkm.ko	__class_create	0x13a54ed5	kernel-or-module-unresolved
audio_pkt_dlkm.ko	__gpr_driver_register	0x45989981	kernel-or-module-unresolved
