relation	before	after	source
hard	abc.ko	abc_hub.ko	modules.dep
hard	abc.ko	coresight-tmc.ko	modules.dep
hard	abc.ko	dwc3-msm.ko	modules.dep
hard	abc.ko	input-cs40l26-i2c.ko	modules.dep
hard	abc.ko	isg6320.ko	modules.dep
hard	abc.ko	max77705-fuelgauge.ko	modules.dep
hard	abc.ko	max77705_charger.ko	modules.dep
hard	abc.ko	mfd_max77705.ko	modules.dep
hard	abc.ko	msm_drm.ko	modules.dep
hard	abc.ko	msm_kgsl.ko	modules.dep
hard	abc.ko	msm_sysstats.ko	modules.dep
hard	abc.ko	p9320_charger.ko	modules.dep
hard	abc.ko	pca9468_charger.ko	modules.dep
hard	abc.ko	pca9481_charger.ko	modules.dep
hard	abc.ko	pdic_max77705.ko	modules.dep
hard	abc.ko	phy-msm-snps-eusb2.ko	modules.dep
hard	abc.ko	phy-msm-snps-hs.ko	modules.dep
hard	abc.ko	qdss_bridge.ko	modules.dep
hard	abc.ko	s2dos05-regulator.ko	modules.dep
hard	abc.ko	s2miw04_charger.ko	modules.dep
hard	abc.ko	sb-mfc.ko	modules.dep
hard	abc.ko	sec-battery.ko	modules.dep
hard	abc.ko	sec-direct-charger.ko	modules.dep
hard	abc.ko	sec_abc_detect_conn.ko	modules.dep
hard	abc.ko	sec_common_fn.ko	modules.dep
hard	abc.ko	sec_tsp_dumpkey.ko	modules.dep
hard	abc.ko	sec_vibrator_inputff_module.ko	modules.dep
hard	abc.ko	slsi_ts.ko	modules.dep
hard	abc.ko	snd-soc-cs40l26.ko	modules.dep
hard	abc.ko	stm_ts_spi.ko	modules.dep
hard	abc.ko	ufs_qcom.ko	modules.dep
hard	abc.ko	usb_f_gsi.ko	modules.dep
hard	abc.ko	usb_f_qdss.ko	modules.dep
hard	abc.ko	usb_f_ss_mon_gadget.ko	modules.dep
hard	abc.ko	usb_notifier_qcom.ko	modules.dep
hard	abc.ko	usb_typec_manager.ko	modules.dep
hard	adsp_factory_module.ko	isg6320.ko	modules.dep
hard	adsp_factory_module.ko	qcom_q6v5.ko	modules.dep
