filename	runtime_name	sha256	size_bytes	vermagic	firststage_line_positions	firststage_unique_position	recovery_line_positions	recovery_unique_position	hard_deps	soft_pre	soft_post	modinfo_depends	options	blocklisted	metadata_alias_count	modinfo_alias_count	parameter_count	undefined_symbol_count	required_symbol_version_count	declared_symbol_provider_count	candidate_symbol_overlap_provider_count	kernel_or_unresolved_symbol_count	ambiguous_symbol_count	evidence_status
sdpm_clk.ko	sdpm_clk	142f9a6d0dce44bc1c9f335011059ee6c3a5ffea90da7ab76dff7a9b268d21b4	23064	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			296	291						0	0	0	0	32	33	0	0	32	0	STATIC_VERIFIED
usb_notify_layer.ko	usb_notify_layer	710d9cc6f523d615e459d22e2d9e3d1ff082514b7efcd6add0f437e890b3d294	294152	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			279	274						0	0	0	0	110	111	0	0	110	0	STATIC_VERIFIED
debug-regulator.ko	debug_regulator	c480c2c114912eac29c1f9500c092e8d426efcf131aa59ced7521dcf69d2d6e8	52440	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64	29	29	29	29						0	0	0	0	60	61	0	0	60	0	STATIC_VERIFIED
qcom_pm8008-regulator.ko	qcom_pm8008_regulator	43aa292e15fb32fb4a31a1f068737b3feeeae66701982258b0d13346eddd58e9	47000	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			229	224	debug-regulator.ko			debug-regulator		0	0	0	0	33	34	1	0	32	0	STATIC_VERIFIED
sec_tsp_log.ko	sec_tsp_log	6145da029fae1953caf6b07ac7d68905236051a15eae065b146996227d0a611d	45432	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			366	361						0	0	0	0	25	26	0	0	25	0	STATIC_VERIFIED
max77705_charger.ko	max77705_charger	7531829f0a3adcab245feedbafbd9a88601b1d797f2337715a1b634bc9d6d588	113528	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			359	354	pdic_max77705.ko,mfd_max77705.ko,dwc3-msm.ko,usb_f_ss_mon_gadget.ko,qc_usb_audio.ko,redriver.ko,if_cb_manager.ko,qcom_ipc_logging.ko,clk-qcom.ko,gdsc-regulator.ko,proxy-consumer.ko,spu_verify.ko,sec-battery.ko,usb_typec_manager.ko,abc.ko,common_muic.ko,vbus_notifier.ko,pdic_notifier_module.ko,switch_class.ko,usb_notify_layer.ko,sec_qc_hw_param.ko,sec_qc_smem.ko,sec_qc_user_reset.ko,sec_qc_summary.ko,sched-walt.ko,qcom-cpufreq-hw.ko,sec_pm_log.ko,sec_debug_region.ko,qcom_wdt_core.ko,memory_dump_v2.ko,qcom-scm.ko,minidump.ko,kryo_arm64_edac.ko,sec_param.ko,sec_qc_dbg_partition.ko,sec_qc_upload_cause.ko,sec_crashkey_long.ko,sec_key_notifier.ko,sec_upload_cause.ko,socinfo.ko,sec_debug.ko,smem.ko,sb-core.ko,sec_class.ko,sec_pd.ko,debug-regulator.ko			pdic_max77705,usb_notify_layer,sec-battery,mfd_max77705		0	0	0	1	76	77	4	0	64	0	STATIC_VERIFIED
pca9468_charger.ko	pca9468_charger	4a1f415bb1e6038eccba2390ab867daede8561055da1e96d2c41d3a4af8fda1e	154888	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			384	379	sec-battery.ko,usb_typec_manager.ko,abc.ko,common_muic.ko,vbus_notifier.ko,pdic_notifier_module.ko,switch_class.ko,usb_notify_layer.ko,sec_qc_hw_param.ko,sec_qc_smem.ko,sec_qc_user_reset.ko,sec_qc_summary.ko,sched-walt.ko,qcom-cpufreq-hw.ko,sec_pm_log.ko,sec_debug_region.ko,qcom_wdt_core.ko,memory_dump_v2.ko,qcom-scm.ko,minidump.ko,kryo_arm64_edac.ko,sec_param.ko,sec_qc_dbg_partition.ko,sec_qc_upload_cause.ko,sec_crashkey_long.ko,sec_key_notifier.ko,sec_upload_cause.ko,socinfo.ko,sec_debug.ko,smem.ko,sb-core.ko,sec_class.ko,sec_pd.ko			sec_pd,sec-battery		0	3	3	0	69	70	2	0	66	0	STATIC_VERIFIED
cpufreq_limit.ko	cpufreq_limit	f3cdd603f9edb1e7546e517f91ee27f5e469da4de5188b94e115dfd2c2777ffd	52512	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			304	299	cpu_voltage_cooling.ko,sched-walt.ko,qcom-cpufreq-hw.ko,sec_pm_log.ko,socinfo.ko,sec_debug.ko,smem.ko			cpu_voltage_cooling,sched-walt		0	0	0	1	32	33	2	0	30	0	STATIC_VERIFIED
clk-dummy.ko	clk_dummy	8d4f3a7e5a4104712164f75af52f2685719b0143c952a6d2d083d064d13e0503	17792	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64	22	22	22	22	clk-qcom.ko,gdsc-regulator.ko,proxy-consumer.ko,debug-regulator.ko			clk-qcom		0	2	2	0	14	15	1	0	13	0	STATIC_VERIFIED
hyp_core_ctl.ko	hyp_core_ctl	57190965af893ef14d6d334ec804cf5b5c698388367aa7c7752902e47dae8442	100256	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64			212	207	gh_rm_drv.ko,gh_dbl.ko,gh_msgq.ko,gh_arm_drv.ko,thermal_pause.ko,sched-walt.ko,qcom-cpufreq-hw.ko,sec_pm_log.ko			sched-walt,gh_rm_drv,thermal_pause		0	0	0	0	96	97	3	0	85	0	STATIC_VERIFIED
