module	symbol	required_crc	provider_status
sdpm_clk.ko	__cpu_possible_mask	0xde7ece30	kernel-or-unresolved
sdpm_clk.ko	__log_write_mmio	0x31dfd5cd	kernel-or-unresolved
sdpm_clk.ko	__mutex_init	0x574add77	kernel-or-unresolved
sdpm_clk.ko	__platform_driver_register	0x503a285e	kernel-or-unresolved
sdpm_clk.ko	__stack_chk_fail	0x98a9d10c	kernel-or-unresolved
sdpm_clk.ko	__stack_chk_guard	0x8f678b07	kernel-or-unresolved
sdpm_clk.ko	__tracepoint_rwmmio_write	0x95575c33	kernel-or-unresolved
sdpm_clk.ko	_dev_err	0x5ed4c6ae	kernel-or-unresolved
sdpm_clk.ko	clk_get_rate	0x556e4390	kernel-or-unresolved
sdpm_clk.ko	clk_notifier_register	0x60091316	kernel-or-unresolved
sdpm_clk.ko	clk_notifier_unregister	0x719e17ff	kernel-or-unresolved
sdpm_clk.ko	cpufreq_register_notifier	0x65d9e877	kernel-or-unresolved
sdpm_clk.ko	cpufreq_unregister_notifier	0x6214aef2	kernel-or-unresolved
sdpm_clk.ko	cpumask_next	0x92ad1db9	kernel-or-unresolved
sdpm_clk.ko	dev_pm_opp_find_freq_floor	0x7604f3ff	kernel-or-unresolved
sdpm_clk.ko	dev_pm_opp_put	0xe695dd5e	kernel-or-unresolved
sdpm_clk.ko	devm_clk_get	0x36d574de	kernel-or-unresolved
sdpm_clk.ko	devm_ioremap_resource	0x33d29b07	kernel-or-unresolved
sdpm_clk.ko	devm_kmalloc	0x08e2fd0c	kernel-or-unresolved
sdpm_clk.ko	devm_regulator_get	0xb7debf78	kernel-or-unresolved
sdpm_clk.ko	get_cpu_device	0xc9e0f27d	kernel-or-unresolved
sdpm_clk.ko	module_layout	0x7c24b32d	kernel-or-unresolved
sdpm_clk.ko	mutex_lock	0xeb9065d9	kernel-or-unresolved
sdpm_clk.ko	mutex_unlock	0xe8b268ae	kernel-or-unresolved
sdpm_clk.ko	nr_cpu_ids	0x017de3d5	kernel-or-unresolved
sdpm_clk.ko	of_parse_phandle	0x79746f10	kernel-or-unresolved
sdpm_clk.ko	of_property_count_elems_of_size	0x5f9e9913	kernel-or-unresolved
sdpm_clk.ko	of_property_read_string_helper	0x7c02aadb	kernel-or-unresolved
sdpm_clk.ko	of_property_read_u32_index	0xa8a4448c	kernel-or-unresolved
sdpm_clk.ko	platform_driver_unregister	0x329d9ae3	kernel-or-unresolved
sdpm_clk.ko	platform_get_resource	0x2e29445c	kernel-or-unresolved
sdpm_clk.ko	regulator_register_notifier	0x74d65fb6	kernel-or-unresolved
sdpm_clk.ko	regulator_unregister_notifier	0x8c4fb059	kernel-or-unresolved
usb_notify_layer.ko	___ratelimit	0x1d24c881	kernel-or-unresolved
usb_notify_layer.ko	__cfi_slowpath	0x2cd90edd	kernel-or-unresolved
usb_notify_layer.ko	__class_create	0x13a54ed5	kernel-or-unresolved
usb_notify_layer.ko	__init_rwsem	0xf5a94b83	kernel-or-unresolved
usb_notify_layer.ko	__init_swait_queue_head	0x608741b5	kernel-or-unresolved
usb_notify_layer.ko	__init_waitqueue_head	0xd9a5ea54	kernel-or-unresolved
usb_notify_layer.ko	__kmalloc	0xeb233a45	kernel-or-unresolved
usb_notify_layer.ko	__mutex_init	0x574add77	kernel-or-unresolved
usb_notify_layer.ko	__pm_relax	0xa9941a8b	kernel-or-unresolved
usb_notify_layer.ko	__pm_stay_awake	0x2a3901ee	kernel-or-unresolved
usb_notify_layer.ko	__stack_chk_fail	0x98a9d10c	kernel-or-unresolved
usb_notify_layer.ko	__stack_chk_guard	0x8f678b07	kernel-or-unresolved
usb_notify_layer.ko	__wake_up	0x3eeb2322	kernel-or-unresolved
usb_notify_layer.ko	_dev_info	0x8eff6041	kernel-or-unresolved
usb_notify_layer.ko	_raw_spin_lock	0xba8fbd64	kernel-or-unresolved
usb_notify_layer.ko	_raw_spin_lock_irqsave	0x34db050b	kernel-or-unresolved
usb_notify_layer.ko	_raw_spin_unlock	0xb5b54b34	kernel-or-unresolved
usb_notify_layer.ko	_raw_spin_unlock_irqrestore	0xd35cce70	kernel-or-unresolved
usb_notify_layer.ko	add_uevent_var	0x9c6febfc	kernel-or-unresolved
usb_notify_layer.ko	alloc_workqueue	0xdf9208c0	kernel-or-unresolved
usb_notify_layer.ko	arm64_const_caps_ready	0x14b89635	kernel-or-unresolved
usb_notify_layer.ko	atomic_notifier_call_chain	0xd3752c27	kernel-or-unresolved
usb_notify_layer.ko	atomic_notifier_chain_register	0x2b9997fb	kernel-or-unresolved
usb_notify_layer.ko	atomic_notifier_chain_unregister	0x7181db30	kernel-or-unresolved
usb_notify_layer.ko	blocking_notifier_call_chain	0x8317ad7c	kernel-or-unresolved
usb_notify_layer.ko	blocking_notifier_chain_register	0xbb0c86a5	kernel-or-unresolved
usb_notify_layer.ko	blocking_notifier_chain_unregister	0x963aa2a9	kernel-or-unresolved
usb_notify_layer.ko	cancel_delayed_work_sync	0xf8beca97	kernel-or-unresolved
usb_notify_layer.ko	class_destroy	0xaed3d17e	kernel-or-unresolved
usb_notify_layer.ko	complete	0xa6257a2f	kernel-or-unresolved
usb_notify_layer.ko	complete_and_exit	0x26cc73c3	kernel-or-unresolved
usb_notify_layer.ko	cpu_hwcap_keys	0xec2fc692	kernel-or-unresolved
usb_notify_layer.ko	delayed_work_timer_fn	0x253af43d	kernel-or-unresolved
usb_notify_layer.ko	destroy_workqueue	0x8c03d20c	kernel-or-unresolved
usb_notify_layer.ko	device_attach	0x2545799c	kernel-or-unresolved
usb_notify_layer.ko	device_create	0x20f92f09	kernel-or-unresolved
usb_notify_layer.ko	device_destroy	0xa15d438d	kernel-or-unresolved
usb_notify_layer.ko	finish_wait	0x92540fbf	kernel-or-unresolved
usb_notify_layer.ko	flush_workqueue	0x42160169	kernel-or-unresolved
usb_notify_layer.ko	free_irq	0xc1514a3b	kernel-or-unresolved
usb_notify_layer.ko	gpio_request	0x47229b5c	kernel-or-unresolved
usb_notify_layer.ko	gpio_to_desc	0x2c531865	kernel-or-unresolved
usb_notify_layer.ko	gpiod_direction_input	0x1a93828e	kernel-or-unresolved
usb_notify_layer.ko	gpiod_direction_output_raw	0x63baf885	kernel-or-unresolved
usb_notify_layer.ko	gpiod_get_raw_value	0x9a7402a8	kernel-or-unresolved
usb_notify_layer.ko	gpiod_to_irq	0x0a471896	kernel-or-unresolved
usb_notify_layer.ko	init_timer_key	0x79cf5987	kernel-or-unresolved
usb_notify_layer.ko	init_wait_entry	0xfe487975	kernel-or-unresolved
usb_notify_layer.ko	kfree	0x037a0cba	kernel-or-unresolved
usb_notify_layer.ko	kmalloc_caches	0x8900b200	kernel-or-unresolved
usb_notify_layer.ko	kmalloc_order_trace	0xb8b9f817	kernel-or-unresolved
usb_notify_layer.ko	kmem_cache_alloc_trace	0xb38391e9	kernel-or-unresolved
usb_notify_layer.ko	kobject_uevent	0x8948c619	kernel-or-unresolved
usb_notify_layer.ko	kobject_uevent_env	0x229a20fd	kernel-or-unresolved
usb_notify_layer.ko	kstrtoint	0x2276db98	kernel-or-unresolved
usb_notify_layer.ko	kthread_create_on_node	0xd9aa98a4	kernel-or-unresolved
usb_notify_layer.ko	kthread_should_stop	0xb3f7646e	kernel-or-unresolved
usb_notify_layer.ko	ktime_get_real_ts64	0x9ec6ca96	kernel-or-unresolved
usb_notify_layer.ko	memset	0xdcb764ad	kernel-or-unresolved
usb_notify_layer.ko	module_layout	0x7c24b32d	kernel-or-unresolved
usb_notify_layer.ko	msleep	0xf9a482f9	kernel-or-unresolved
usb_notify_layer.ko	mutex_lock	0xeb9065d9	kernel-or-unresolved
usb_notify_layer.ko	mutex_unlock	0xe8b268ae	kernel-or-unresolved
usb_notify_layer.ko	pm_runtime_set_autosuspend_delay	0x5b0864e7	kernel-or-unresolved
usb_notify_layer.ko	prepare_to_wait_event	0x8c26d495	kernel-or-unresolved
usb_notify_layer.ko	printk	0xc5850110	kernel-or-unresolved
usb_notify_layer.ko	proc_create	0x20fd21c6	kernel-or-unresolved
usb_notify_layer.ko	queue_delayed_work_on	0xbf57e89e	kernel-or-unresolved
usb_notify_layer.ko	queue_work_on	0x732ac580	kernel-or-unresolved
usb_notify_layer.ko	register_reboot_notifier	0x3517383e	kernel-or-unresolved
usb_notify_layer.ko	remove_proc_entry	0x3c651057	kernel-or-unresolved
usb_notify_layer.ko	request_threaded_irq	0x2072ee9b	kernel-or-unresolved
usb_notify_layer.ko	rtc_time64_to_tm	0x356461c8	kernel-or-unresolved
usb_notify_layer.ko	sched_clock	0xd653b126	kernel-or-unresolved
usb_notify_layer.ko	schedule	0x01000e51	kernel-or-unresolved
usb_notify_layer.ko	schedule_timeout	0x8ddd8aad	kernel-or-unresolved
usb_notify_layer.ko	seq_lseek	0xad9f2705	kernel-or-unresolved
usb_notify_layer.ko	seq_printf	0xd740362b	kernel-or-unresolved
usb_notify_layer.ko	seq_read	0xb9997d36	kernel-or-unresolved
usb_notify_layer.ko	single_open	0x4f731e2b	kernel-or-unresolved
usb_notify_layer.ko	single_release	0xef42eddb	kernel-or-unresolved
usb_notify_layer.ko	snprintf	0x656e4a6e	kernel-or-unresolved
usb_notify_layer.ko	sprintf	0x3c3ff9fd	kernel-or-unresolved
usb_notify_layer.ko	sscanf	0xbcab6ee6	kernel-or-unresolved
usb_notify_layer.ko	strcmp	0xe2d5255a	kernel-or-unresolved
usb_notify_layer.ko	strim	0x77bc13a0	kernel-or-unresolved
usb_notify_layer.ko	strlcat	0xf9c0b663	kernel-or-unresolved
usb_notify_layer.ko	strlcpy	0x5792f848	kernel-or-unresolved
usb_notify_layer.ko	strlen	0x98cf60b3	kernel-or-unresolved
usb_notify_layer.ko	strncat	0x2e2b40d2	kernel-or-unresolved
usb_notify_layer.ko	strncmp	0x5a921311	kernel-or-unresolved
usb_notify_layer.ko	strncpy	0x9166fada	kernel-or-unresolved
usb_notify_layer.ko	strsep	0x85df9b6c	kernel-or-unresolved
usb_notify_layer.ko	sys_tz	0xfe5d4bb2	kernel-or-unresolved
usb_notify_layer.ko	sysfs_create_group	0xaa3caa56	kernel-or-unresolved
usb_notify_layer.ko	sysfs_remove_group	0xe8415b1d	kernel-or-unresolved
usb_notify_layer.ko	system_wq	0x2d3385d3	kernel-or-unresolved
usb_notify_layer.ko	unregister_reboot_notifier	0xac1a55be	kernel-or-unresolved
usb_notify_layer.ko	usb_driver_release_interface	0x361c5d2f	kernel-or-unresolved
