consumer	candidate_provider	symbol_count	symbols	metadata_status
abc.ko	dhd.ko	1	strlcpy	CANDIDATE_ONLY
abc.ko	sec_class.ko	2	sec_device_create,sec_device_destroy	DECLARED_HARD
abc_hub.ko	abc.ko	3	motto_send_bootcheck_info,sec_abc_send_event,sec_abc_wait_enabled	DECLARED_HARD
abc_hub.ko	sec_abc_detect_conn.ko	1	abc_hub_cond_enable	DECLARED_HARD
abc_hub.ko	sec_class.ko	2	sec_device_create,sec_device_destroy	DECLARED_HARD
adsp_factory_module.ko	dhd.ko	1	strlcpy	CANDIDATE_ONLY
adsp_factory_module.ko	sec_panel_notifier.ko	2	ss_panel_notifier_register,ss_panel_notifier_unregister	DECLARED_HARD
adsp_factory_module.ko	sensors_core.ko	2	sensors_register,sensors_unregister	DECLARED_HARD
adsp_sleepmon.ko	smem.ko	1	qcom_smem_get	DECLARED_HARD
akm.ko	hall_ic_notifier.ko	1	hall_notifier_register	DECLARED_HARD
akm.ko	sec_class.ko	1	sec_device_create	DECLARED_HARD
altmode-glink.ko	pmic_glink.ko	3	pmic_glink_register_client,pmic_glink_unregister_client,pmic_glink_write	DECLARED_HARD
altmode-glink.ko	qcom_ipc_logging.ko	3	ipc_log_context_create,ipc_log_context_destroy,ipc_log_string	DECLARED_HARD
arm_smmu.ko	iommu-logger.ko	2	iommu_logger_register,iommu_logger_unregister	DECLARED_HARD
arm_smmu.ko	qcom-scm.ko	4	qcom_scm_io_readl,qcom_scm_io_writel,qcom_scm_is_available,qcom_scm_qsmmu500_wait_safe_toggle	DECLARED_HARD
arm_smmu.ko	qcom_iommu_util.ko	7	fast_smmu_init_mapping,fast_smmu_put_dma_cookie,qcom_alloc_io_pgtable_ops,qcom_dma_iommu_is_ready,qcom_free_io_pgtable_ops,qcom_iommu_generate_resv_regions,qcom_iommu_get_fast_iova_range	DECLARED_HARD
arm_smmu.ko	secure_buffer.ko	1	hyp_assign_phys	DECLARED_HARD
bam_dma.ko	qcom_ipc_logging.ko	3	ipc_log_context_create,ipc_log_context_destroy,ipc_log_string	DECLARED_HARD
bcl_pmic5.ko	qcom_ipc_logging.ko	2	ipc_log_context_create,ipc_log_string	DECLARED_HARD
bluesleep.ko	msm_geni_serial.ko	6	msm_geni_serial_get_clock_count,msm_geni_serial_get_uart_port,msm_geni_serial_set_mctrl,msm_geni_serial_tx_empty,vote_clock_off,vote_clock_on	DECLARED_HARD
bt_fm_slim.ko	btpower.ko	2	btpower_get_chipset_version,btpower_register_slimdev	DECLARED_HARD
bt_fm_slim.ko	slimbus.ko	10	__slim_driver_register,slim_driver_unregister,slim_get_logical_addr,slim_readb,slim_stream_allocate,slim_stream_disable,slim_stream_enable,slim_stream_prepare,slim_stream_unprepare_disconnect_port,slim_writeb	DECLARED_HARD
btpower.ko	dhd.ko	1	strlcpy	CANDIDATE_ONLY
bwmon.ko	qcom-dcvs.ko	10	__traceiter_bw_hwmon_debug,__traceiter_bw_hwmon_meas,__traceiter_bw_hwmon_update,__tracepoint_bw_hwmon_debug,__tracepoint_bw_hwmon_meas,__tracepoint_bw_hwmon_update,qcom_dcvs_hw_minmax_get,qcom_dcvs_kobject_get,qcom_dcvs_register_voter,qcom_dcvs_update_votes	DECLARED_HARD
camcc-diwali.ko	clk-qcom.ko	15	clk_alpha_pll_lucid_evo_ops,clk_alpha_pll_postdiv_lucid_evo_ops,clk_alpha_pll_postdiv_rivian_evo_ops,clk_alpha_pll_regs,clk_alpha_pll_rivian_evo_ops,clk_branch2_ops,clk_lucid_evo_pll_configure,clk_rcg2_ops,clk_rivian_evo_pll_configure,qcom_cc_map,qcom_cc_really_probe,qcom_cc_runtime_init,qcom_cc_runtime_resume,qcom_cc_runtime_suspend,qcom_cc_sync_state	DECLARED_HARD
camcc-waipio.ko	clk-qcom.ko	15	clk_alpha_pll_lucid_evo_ops,clk_alpha_pll_postdiv_lucid_evo_ops,clk_alpha_pll_regs,clk_alpha_pll_rivian_evo_ops,clk_branch2_aon_ops,clk_branch2_ops,clk_lucid_evo_pll_configure,clk_rcg2_ops,clk_rivian_evo_pll_configure,qcom_cc_map,qcom_cc_really_probe,qcom_cc_runtime_init,qcom_cc_runtime_resume,qcom_cc_runtime_suspend,qcom_cc_sync_state	DECLARED_HARD
cdsp-loader.ko	qcom_ramdump.ko	2	dump_enabled,set_dump_enabled	DECLARED_HARD
cfg80211.ko	dhd.ko	1	strlcpy	CANDIDATE_ONLY
charger-ulog-glink.ko	pmic_glink.ko	3	pmic_glink_register_client,pmic_glink_unregister_client,pmic_glink_write	DECLARED_HARD
charger-ulog-glink.ko	qcom_ipc_logging.ko	3	ipc_log_context_create,ipc_log_context_destroy,ipc_log_string	DECLARED_HARD
cl_dsp.ko	dhd.ko	1	strlcpy	CANDIDATE_ONLY
clk-dummy.ko	clk-qcom.ko	1	clk_debug_measure_add	DECLARED_HARD
clk-qcom.ko	gdsc-regulator.ko	1	gdsc_debug_print_regs	DECLARED_HARD
clk-rpmh.ko	cmd-db.ko	2	cmd_db_read_addr,cmd_db_read_aux_data	DECLARED_HARD
clk-rpmh.ko	qcom_rpmh.ko	2	rpmh_write,rpmh_write_async	DECLARED_HARD
cnss2.ko	cmd-db.ko	2	cmd_db_read_addr,cmd_db_ready	DECLARED_HARD
cnss2.ko	cnss_plat_ipc_qmi_svc.ko	5	cnss_plat_ipc_qmi_daemon_config,cnss_plat_ipc_qmi_file_download,cnss_plat_ipc_qmi_file_upload,cnss_plat_ipc_register,cnss_plat_ipc_unregister	DECLARED_HARD
cnss2.ko	cnss_utils.ko	1	cnss_utils_set_wlan_mac_address	DECLARED_HARD
cnss2.ko	dhd.ko	1	strlcpy	CANDIDATE_ONLY
cnss2.ko	memory_dump_v2.ko	1	msm_dump_data_register_nominidump	DECLARED_HARD
cnss2.ko	mhi.ko	26	mhi_alloc_controller,mhi_controller_set_bw_scale_cb,mhi_debug_reg_dump,mhi_device_get,mhi_device_get_sync,mhi_device_get_sync_atomic,mhi_device_put,mhi_download_rddm_image,mhi_dump_sfr,mhi_force_rddm_mode,mhi_force_reset,mhi_free_controller,mhi_get_exec_env,mhi_pm_fast_resume,mhi_pm_fast_suspend,mhi_pm_resume,mhi_pm_suspend,mhi_power_down,mhi_prepare_for_power_up,mhi_register_controller,mhi_report_error,mhi_scan_rddm_cookie,mhi_set_m2_timeout_ms,mhi_sync_power_up,mhi_unprepare_after_power_down,mhi_unregister_controller	DECLARED_HARD
cnss2.ko	minidump.ko	2	msm_minidump_add_region,msm_minidump_remove_region	DECLARED_HARD
cnss2.ko	pci-msm-drv.ko	9	msm_pcie_allow_l1,msm_pcie_deregister_event,msm_pcie_enumerate,msm_pcie_pm_control,msm_pcie_prevent_l1,msm_pcie_reg_dump,msm_pcie_register_event,msm_pcie_set_link_bandwidth,msm_pcie_set_target_link_speed	DECLARED_HARD
cnss2.ko	qcom_ipc_logging.ko	3	ipc_log_context_create,ipc_log_context_destroy,ipc_log_string	DECLARED_HARD
cnss2.ko	qcom_ramdump.ko	2	qcom_dump,qcom_elf_dump	DECLARED_HARD
cnss2.ko	qmi_helpers.ko	8	qmi_add_lookup,qmi_handle_init,qmi_handle_release,qmi_response_type_v01_ei,qmi_send_request,qmi_txn_cancel,qmi_txn_init,qmi_txn_wait	DECLARED_HARD
cnss2.ko	wlan_firmware_service.ko	61	dms_get_mac_address_req_msg_v01_ei,dms_get_mac_address_resp_msg_v01_ei,wlfw_antenna_grant_req_msg_v01_ei,wlfw_antenna_grant_resp_msg_v01_ei,wlfw_antenna_switch_req_msg_v01_ei,wlfw_antenna_switch_resp_msg_v01_ei,wlfw_athdiag_read_req_msg_v01_ei,wlfw_athdiag_read_resp_msg_v01_ei,wlfw_athdiag_write_req_msg_v01_ei,wlfw_athdiag_write_resp_msg_v01_ei,wlfw_bdf_download_req_msg_v01_ei,wlfw_bdf_download_resp_msg_v01_ei,wlfw_cal_done_ind_msg_v01_ei,wlfw_cal_report_req_msg_v01_ei,wlfw_cal_report_resp_msg_v01_ei,wlfw_cap_req_msg_v01_ei,wlfw_cap_resp_msg_v01_ei,wlfw_dynamic_feature_mask_req_msg_v01_ei,wlfw_dynamic_feature_mask_resp_msg_v01_ei,wlfw_fw_init_done_ind_msg_v01_ei,wlfw_fw_mem_ready_ind_msg_v01_ei,wlfw_fw_ready_ind_msg_v01_ei,wlfw_get_info_req_msg_v01_ei,wlfw_get_info_resp_msg_v01_ei,wlfw_host_cap_req_msg_v01_ei,wlfw_host_cap_resp_msg_v01_ei,wlfw_ind_register_req_msg_v01_ei,wlfw_ind_register_resp_msg_v01_ei,wlfw_ini_file_download_req_msg_v01_ei,wlfw_ini_file_download_resp_msg_v01_ei,wlfw_ini_req_msg_v01_ei,wlfw_ini_resp_msg_v01_ei,wlfw_m3_info_req_msg_v01_ei,wlfw_m3_info_resp_msg_v01_ei,wlfw_mac_addr_req_msg_v01_ei,wlfw_mac_addr_resp_msg_v01_ei,wlfw_pcie_gen_switch_req_msg_v01_ei,wlfw_pcie_gen_switch_resp_msg_v01_ei,wlfw_pin_connect_result_ind_msg_v01_ei,wlfw_qdss_trace_config_download_req_msg_v01_ei,wlfw_qdss_trace_config_download_resp_msg_v01_ei,wlfw_qdss_trace_data_req_msg_v01_ei,wlfw_qdss_trace_data_resp_msg_v01_ei,wlfw_qdss_trace_free_ind_msg_v01_ei,wlfw_qdss_trace_mem_info_req_msg_v01_ei,wlfw_qdss_trace_mem_info_resp_msg_v01_ei,wlfw_qdss_trace_mode_req_msg_v01_ei,wlfw_qdss_trace_mode_resp_msg_v01_ei,wlfw_qdss_trace_req_mem_ind_msg_v01_ei,wlfw_qdss_trace_save_ind_msg_v01_ei,wlfw_request_mem_ind_msg_v01_ei,wlfw_respond_get_info_ind_msg_v01_ei,wlfw_respond_mem_req_msg_v01_ei,wlfw_respond_mem_resp_msg_v01_ei,wlfw_wfc_call_status_req_msg_v01_ei,wlfw_wfc_call_status_resp_msg_v01_ei,wlfw_wfc_call_twt_config_ind_msg_v01_ei,wlfw_wlan_cfg_req_msg_v01_ei,wlfw_wlan_cfg_resp_msg_v01_ei,wlfw_wlan_mode_req_msg_v01_ei,wlfw_wlan_mode_resp_msg_v01_ei	DECLARED_HARD
cnss_plat_ipc_qmi_svc.ko	qcom_ipc_logging.ko	3	ipc_log_context_create,ipc_log_context_destroy,ipc_log_string	DECLARED_HARD
cnss_plat_ipc_qmi_svc.ko	qmi_helpers.ko	6	qmi_add_server,qmi_handle_init,qmi_handle_release,qmi_response_type_v01_ei,qmi_send_indication,qmi_send_response	DECLARED_HARD
common_muic.ko	sec_class.ko	2	sec_device_create,sec_device_destroy	DECLARED_HARD
common_muic.ko	switch_class.ko	3	switch_dev_register,switch_dev_unregister,switch_set_state	DECLARED_HARD
common_muic.ko	usb_notify_layer.ko	2	get_otg_notify,inc_hw_param	DECLARED_HARD
core_hang_detect.ko	qcom-scm.ko	2	qcom_scm_io_readl,qcom_scm_io_writel	DECLARED_HARD
coresight-csr.ko	coresight.ko	4	coresight_alloc_device_name,coresight_get_platform_data,coresight_register,coresight_unregister	DECLARED_HARD
coresight-cti.ko	coresight.ko	12	coresight_add_sysfs_link,coresight_alloc_device_name,coresight_claim_device,coresight_disclaim_device,coresight_disclaim_device_unlocked,coresight_find_csdev_by_fwnode,coresight_register,coresight_remove_cti_ops,coresight_remove_sysfs_link,coresight_set_assoc_ectdev_mutex,coresight_set_cti_ops,coresight_unregister	DECLARED_HARD
coresight-dummy.ko	coresight.ko	4	coresight_alloc_device_name,coresight_get_platform_data,coresight_register,coresight_unregister	DECLARED_HARD
coresight-funnel.ko	coresight.ko	6	coresight_alloc_device_name,coresight_claim_device_unlocked,coresight_disclaim_device_unlocked,coresight_get_platform_data,coresight_register,coresight_unregister	DECLARED_HARD
coresight-hwevent.ko	coresight-csr.ko	3	coresight_csr_get,coresight_csr_hwctrl_set,of_get_coresight_csr_name	DECLARED_HARD
coresight-hwevent.ko	coresight.ko	4	coresight_alloc_device_name,coresight_get_platform_data,coresight_register,coresight_unregister	DECLARED_HARD
coresight-remote-etm.ko	coresight.ko	4	coresight_alloc_device_name,coresight_get_platform_data,coresight_register,coresight_unregister	DECLARED_HARD
coresight-remote-etm.ko	qmi_helpers.ko	8	qmi_add_lookup,qmi_handle_init,qmi_handle_release,qmi_response_type_v01_ei,qmi_send_request,qmi_txn_cancel,qmi_txn_init,qmi_txn_wait	DECLARED_HARD
